Date,Bullish,Neutral,Bearish,BullBearSpread
1993-08-06,26.0000,42.0000,32.0000,-6.0000
1993-08-13,25.0000,41.0000,34.0000,-9.0000
1993-08-20,29.0000,41.0000,30.0000,-1.0000
1993-08-27,27.0000,35.0000,38.0000,-11.0000
1993-09-03,38.0000,33.0000,29.0000,9.0000
1993-09-10,30.0000,30.0000,40.0000,-10.0000
1993-09-17,32.0000,34.0000,34.0000,-2.0000
1993-09-24,28.0000,40.0000,32.0000,-4.0000
1993-10-01,26.0000,34.0000,40.0000,-14.0000
1993-10-08,29.0000,37.0000,34.0000,-5.0000
1993-10-15,31.0000,38.0000,31.0000,0.0000
1993-10-22,42.0000,30.0000,28.0000,14.0000
1993-10-29,43.0000,33.0000,24.0000,19.0000
1993-11-04,32.0000,36.0000,32.0000,0.0000
1993-11-11,35.0000,30.0000,35.0000,0.0000
1993-11-18,34.0000,31.0000,35.0000,-1.0000
1993-11-24,45.0000,30.0000,25.0000,20.0000
1993-12-02,33.0000,32.0000,35.0000,-2.0000
1993-12-09,37.0000,39.0000,24.0000,13.0000
1993-12-16,33.0000,38.0000,29.0000,4.0000
1993-12-23,36.0000,31.0000,33.0000,3.0000
1993-12-30,44.0000,28.0000,28.0000,16.0000
1994-01-06,40.0000,33.0000,27.0000,13.0000
1994-01-13,38.0000,31.0000,31.0000,7.0000
1994-01-20,48.0000,26.0000,26.0000,22.0000
1994-01-27,41.0000,25.0000,34.0000,7.0000
1994-02-03,38.0000,29.0000,33.0000,5.0000
1994-02-10,49.0000,27.0000,24.0000,25.0000
1994-02-17,40.0000,36.0000,24.0000,16.0000
1994-02-24,41.0000,30.0000,29.0000,12.0000
1994-03-03,31.0000,42.0000,27.0000,4.0000
1994-03-10,29.0000,34.0000,37.0000,-8.0000
1994-03-17,24.0000,41.0000,35.0000,-11.0000
1994-03-24,29.0000,37.0000,34.0000,-5.0000
1994-03-31,23.0000,33.0000,44.0000,-21.0000
1994-04-07,28.0000,31.0000,41.0000,-13.0000
1994-04-14,29.0000,23.0000,48.0000,-19.0000
1994-04-21,26.0000,41.0000,33.0000,-7.0000
1994-04-28,27.0000,35.0000,38.0000,-11.0000
1994-05-05,32.0000,32.0000,36.0000,-4.0000
1994-05-12,38.0000,32.0000,30.0000,8.0000
1994-05-19,22.0000,36.0000,42.0000,-20.0000
1994-05-26,29.0000,33.0000,38.0000,-9.0000
1994-06-02,39.0000,36.0000,25.0000,14.0000
1994-06-09,28.0000,47.0000,25.0000,3.0000
1994-06-16,32.0000,42.0000,26.0000,6.0000
1994-06-23,29.0000,45.0000,26.0000,3.0000
1994-06-30,32.0000,37.0000,31.0000,1.0000
1994-07-07,28.0000,32.0000,40.0000,-12.0000
1994-07-14,25.0000,40.0000,35.0000,-10.0000
1994-07-21,34.0000,38.0000,28.0000,6.0000
1994-07-28,27.0000,42.0000,31.0000,-4.0000
1994-08-04,22.0000,52.0000,26.0000,-4.0000
1994-08-11,34.0000,37.0000,29.0000,5.0000
1994-08-18,30.0000,40.0000,30.0000,0.0000
1994-08-25,32.0000,39.0000,29.0000,3.0000
1994-09-01,43.0000,34.0000,23.0000,20.0000
1994-09-08,47.0000,33.0000,20.0000,27.0000
1994-09-15,45.0000,25.0000,30.0000,15.0000
1994-09-22,37.0000,36.0000,27.0000,10.0000
1994-09-29,38.0000,32.0000,30.0000,8.0000
1994-10-06,33.0000,39.0000,28.0000,5.0000
1994-10-13,35.0000,39.0000,26.0000,9.0000
1994-10-20,39.0000,33.0000,28.0000,11.0000
1994-10-27,43.0000,38.0000,19.0000,24.0000
1994-11-03,40.0000,35.0000,25.0000,15.0000
1994-11-10,37.0000,31.0000,32.0000,5.0000
1994-11-17,39.0000,22.0000,39.0000,0.0000
1994-11-23,39.0000,32.0000,29.0000,10.0000
1994-11-30,44.0000,30.0000,26.0000,18.0000
1994-12-08,30.0000,35.0000,35.0000,-5.0000
1994-12-15,33.0000,35.0000,32.0000,1.0000
1994-12-22,42.0000,25.0000,33.0000,9.0000
1994-12-29,40.0000,43.0000,17.0000,23.0000
1995-01-05,44.0000,31.0000,25.0000,19.0000
1995-01-12,36.0000,42.0000,22.0000,14.0000
1995-01-19,37.0000,39.0000,24.0000,13.0000
1995-01-26,38.0000,37.0000,25.0000,13.0000
1995-02-02,38.0000,37.0000,25.0000,13.0000
1995-02-09,34.0000,43.0000,23.0000,11.0000
1995-02-16,43.0000,37.0000,20.0000,23.0000
1995-02-23,46.0000,37.0000,17.0000,29.0000
1995-03-02,53.0000,26.0000,21.0000,32.0000
1995-03-09,48.0000,34.0000,18.0000,30.0000
1995-03-16,39.0000,41.0000,20.0000,19.0000
1995-03-23,47.0000,30.0000,23.0000,24.0000
1995-03-30,52.0000,23.0000,25.0000,27.0000
1995-04-06,42.0000,25.0000,33.0000,9.0000
1995-04-13,40.0000,23.0000,37.0000,3.0000
1995-04-20,37.0000,27.0000,36.0000,1.0000
1995-04-27,52.0000,29.0000,19.0000,33.0000
1995-05-04,42.0000,27.0000,31.0000,11.0000
1995-05-11,44.0000,26.0000,30.0000,14.0000
1995-05-18,42.0000,23.0000,35.0000,7.0000
1995-05-25,44.0000,26.0000,30.0000,14.0000
1995-06-01,39.0000,34.0000,27.0000,12.0000
1995-06-08,44.0000,25.0000,31.0000,13.0000
1995-06-15,36.0000,31.0000,33.0000,3.0000
1995-06-22,48.0000,21.0000,31.0000,17.0000
1995-06-29,35.0000,28.0000,37.0000,-2.0000
1995-07-06,35.0000,34.0000,31.0000,4.0000
